Rider_ID,Name,Phone,Completed_Deliveries,Rating
301,Rider_1,+8801606886988,582,4.5
302,Rider_2,+8801651376441,328,3.3
303,Rider_3,+8801813588132,791,3.1
304,Rider_4,+8801767355462,439,3.4
305,Rider_5,+8801925182308,433,4.5
306,Rider_6,+8801984315369,309,3.5
307,Rider_7,+8801756756310,560,3.1
308,Rider_8,+8801729037499,692,4.4
309,Rider_9,+8801931588957,749,4.5
310,Rider_10,+8801902763336,531,3.7
311,Rider_11,+8801570171792,311,3
312,Rider_12,+8801742018345,996,4
313,Rider_13,+8801762333463,766,5
314,Rider_14,+8801924368313,609,4.8
315,Rider_15,+8801800036097,442,4
316,Rider_16,+8801751871034,870,3.5
317,Rider_17,+8801629645838,167,4.9
318,Rider_18,+8801764644272,160,4.7
319,Rider_19,+8801919816154,613,3.1
320,Rider_20,+8801832504118,257,3.9
